arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,68,frequent,77.9,4,1,338.6,322.0,275,277,325.8,300.8
trace,exposure,69,frequent,274.7,22,1,149.2,191.5,358,370,317.0,295.3
trace,exposure,70,frequent,283.8,46,1,140.3,140.4,345,337,308.2,287.6
trace,exposure,71,frequent,160.3,68,1,304.4,147.0,341,303,308.0,280.6
trace,exposure,72,rare,252.5,25,1,598.5,375.8,346,373,322.5,285.3
trace,exposure,73,rare,288.4,49,1,338.8,635.9,301,350,323.3,302.9
trace,exposure,74,frequent,392.4,117,1,258.1,141.4,444,487,320.1,294.8
trace,exposure,75,frequent,252.4,263,1,174.2,148.8,350,330,312.8,287.5
trace,exposure,76,frequent,308.4,27,1,226.7,255.6,508,382,308.5,285.9
trace,exposure,77,frequent,117.2,66,1,152.9,285.0,270,280,300.7,285.8
trace,exposure,78,rare,256.3,19,1,551.3,513.2,357,346,313.2,297.2
trace,exposure,79,frequent,311.3,71,1,247.9,154.3,444,396,309.9,290.1
trace,exposure,80,frequent,261.8,231,1,281.4,148.6,339,404,308.5,283.0
trace,exposure,81,frequent,97.4,19,1,330.1,193.2,341,290,309.6,278.5
trace,exposure,82,frequent,277.3,22,1,210.9,153.1,391,364,304.7,272.2
trace,exposure,83,rare,293.0,25,1,595.0,197.6,340,342,319.2,268.5
trace,exposure,84,frequent,87.0,6,1,296.9,368.7,338,292,318.1,273.5
trace,exposure,85,frequent,290.4,26,1,167.1,169.6,393,352,310.5,268.3
trace,exposure,86,frequent,261.0,18,1,230.3,251.5,402,448,306.5,267.5
trace,exposure,87,rare,349.2,123,1,575.4,412.0,239,318,319.9,274.7
trace,exposure,88,rare,307.4,101,1,208.2,652.2,375,394,314.4,293.6
trace,exposure,89,frequent,296.7,69,1,381.7,191.8,352,487,317.7,288.5
trace,exposure,90,frequent,254.5,39,1,162.0,195.1,355,361,309.9,283.8
trace,exposure,91,frequent,96.2,21,1,354.0,316.6,259,301,312.1,285.4
trace,exposure,92,rare,269.8,21,1,635.4,586.8,421,423,328.3,300.5
trace,exposure,93,frequent,360.4,202,1,159.5,162.9,421,411,319.9,293.6
trace,exposure,94,rare,307.2,33,1,385.0,652.1,376,345,323.1,311.6
trace,exposure,95,frequent,349.8,26,1,144.5,227.9,413,452,314.2,307.4
trace,exposure,96,frequent,167.8,14,1,311.6,151.9,243,305,314.1,299.6
trace,exposure,97,frequent,251.7,17,1,172.2,188.0,352,364,307.0,294.0
trace,exposure,98,rare,250.4,21,1,563.4,472.1,339,361,319.8,302.9
trace,exposure,99,rare,353.8,34,1,318.2,655.2,477,339,319.7,320.5
trace,exposure,100,frequent,265.9,25,1,372.4,189.2,373,455,322.3,314.0
trace,exposure,101,frequent,255.8,20,1,197.5,171.8,364,366,316.1,306.9
trace,exposure,102,frequent,116.6,71,1,312.0,398.8,263,293,315.9,311.5
trace,exposure,103,frequent,257.8,23,1,370.9,177.0,425,429,318.6,304.7
trace,exposure,104,frequent,285.7,23,1,203.3,147.1,357,388,312.9,296.8
trace,exposure,105,frequent,100.0,6,1,381.1,196.2,325,279,316.3,291.8
trace,exposure,106,frequent,263.7,27,1,150.1,216.6,374,356,308.0,288.1
trace,exposure,107,frequent,359.1,43,1,181.8,154.5,411,431,301.7,281.4
trace,exposure,108,rare,368.8,128,1,623.7,302.6,255,297,317.8,282.4
trace,exposure,109,frequent,397.5,37,1,193.2,357.2,577,254,311.5,286.2
trace,exposure,110,frequent,273.3,111,1,141.7,284.2,415,285,303.0,286.1
trace,exposure,111,frequent,264.1,57,1,145.5,201.9,350,369,295.2,281.9
trace,exposure,112,frequent,98.3,10,1,168.2,300.0,266,291,288.8,282.8
trace,exposure,113,frequent,285.6,49,1,264.3,183.7,414,427,287.6,277.8
trace,exposure,114,frequent,251.0,18,1,166.8,233.5,367,385,281.6,275.6
trace,exposure,115,frequent,96.0,7,1,273.3,374.3,311,286,281.1,280.5
trace,exposure,116,frequent,265.1,81,1,142.9,179.2,349,346,274.2,275.5
trace,exposure,117,frequent,306.5,28,1,223.6,382.9,513,282,271.7,280.9
trace,exposure,118,frequent,103.9,8,1,209.8,224.7,237,325,268.6,278.0
trace,exposure,119,frequent,250.8,106,1,147.9,159.5,320,342,262.6,272.1
trace,test,0,rare,272.1,25,1,412.1,615.4,344,352,270.0,289.3
trace,test,1,frequent,328.9,268,1,262.6,155.2,373,465,269.7,282.6
trace,test,2,rare,260.7,21,1,472.9,512.3,340,288,279.8,294.1
trace,test,3,frequent,284.6,59,1,288.6,147.3,405,407,280.3,286.7
trace,test,4,rare,340.8,34,1,639.6,232.3,306,302,298.2,284.0
trace,test,5,rare,277.5,25,1,508.7,577.7,353,348,308.8,298.7
trace,test,6,rare,261.6,37,1,619.4,605.6,422,434,324.3,314.0
trace,test,7,rare,277.1,76,1,536.9,293.1,339,487,334.9,313.0
trace,test,8,rare,272.4,27,1,627.5,421.6,360,370,349.6,318.4
trace,test,9,rare,300.8,25,1,653.0,543.4,393,392,364.7,329.7
trace,test,10,rare,288.1,30,1,524.5,227.3,510,515,372.7,324.6
trace,test,11,rare,309.8,34,1,654.5,256.2,408,444,386.8,321.1
trace,test,12,rare,263.4,18,1,585.4,540.1,402,351,396.7,332.1
trace,test,13,frequent,416.3,33,1,229.9,242.1,510,550,388.4,327.6
trace,test,14,frequent,294.8,27,1,368.4,158.0,440,444,387.4,319.1
trace,test,15,rare,267.2,26,1,457.4,160.5,398,421,390.9,311.2
trace,test,16,rare,346.8,71,1,289.7,598.4,356,258,385.8,325.5
trace,test,17,rare,305.8,24,1,195.7,586.5,441,404,376.3,338.6
trace,test,18,rare,278.6,52,1,163.6,594.2,422,490,365.7,351.4
trace,test,19,rare,270.9,21,1,514.8,141.0,345,352,373.1,340.8
trace,test,20,rare,362.2,44,1,624.9,150.3,381,418,385.7,331.3
trace,test,21,rare,343.5,30,1,598.3,600.8,436,298,396.4,344.8
trace,test,22,frequent,320.2,26,1,236.0,195.4,404,468,388.3,337.3
