arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,34,frequent,252.6,151,1,172.2,179.6,337,371,322.7,284.5
trace,exposure,35,frequent,119.9,8,1,361.6,219.7,261,285,324.6,281.2
trace,exposure,36,frequent,277.9,42,1,144.2,394.7,422,405,315.6,286.9
trace,exposure,37,rare,328.4,45,1,187.3,635.2,329,339,309.2,304.3
trace,exposure,38,frequent,263.8,65,1,176.6,384.5,189,648,302.5,308.3
trace,exposure,39,frequent,307.9,282,1,158.4,144.8,365,373,295.3,300.2
trace,exposure,40,frequent,256.0,130,1,160.1,152.1,334,340,288.6,292.8
trace,exposure,41,frequent,114.4,7,1,257.9,207.6,321,303,287.0,288.5
trace,exposure,42,rare,368.2,33,1,649.8,529.8,320,366,305.2,300.6
trace,exposure,43,frequent,258.2,163,1,167.5,152.1,338,346,298.3,293.1
trace,exposure,44,frequent,263.9,279,1,151.2,193.4,370,341,290.9,288.2
trace,exposure,45,frequent,252.6,51,1,161.8,145.9,343,322,284.5,281.0
trace,exposure,46,frequent,273.0,23,1,232.7,286.3,480,402,281.9,281.3
trace,exposure,47,rare,331.1,33,1,210.8,596.0,288,274,278.3,297.0
trace,exposure,48,rare,274.6,39,1,363.2,645.5,370,371,282.6,314.5
trace,exposure,49,frequent,270.1,507,1,148.0,163.4,331,362,275.9,306.9
trace,exposure,50,rare,264.8,26,1,328.1,616.2,372,355,278.5,322.4
trace,exposure,51,frequent,125.8,11,1,186.6,367.3,311,349,273.9,324.6
trace,exposure,52,rare,465.7,424,1,633.0,627.5,298,304,291.8,339.8
trace,exposure,53,frequent,280.7,160,1,167.2,148.7,345,366,285.6,330.2
trace,exposure,54,rare,348.6,74,1,627.2,493.1,333,306,302.7,338.4
trace,exposure,55,frequent,259.8,73,1,175.9,161.2,325,374,296.3,329.5
trace,exposure,56,frequent,113.4,56,1,331.9,390.5,261,302,298.1,332.5
trace,exposure,57,rare,286.7,23,1,632.3,234.6,396,397,314.8,327.6
trace,exposure,58,frequent,264.8,310,1,143.4,158.5,322,354,306.3,319.2
