arm,block,goal_idx,region,spawn_dist,steps,reached
control,exposure,4,frequent,94.2,8,1
control,exposure,5,frequent,263.8,28,1
control,exposure,6,frequent,270.8,48,1
control,exposure,7,frequent,294.3,25,1
control,exposure,8,frequent,312.5,25,1
control,exposure,9,frequent,98.4,8,1
control,exposure,10,frequent,262.7,21,1
control,exposure,11,rare,260.2,31,1
control,exposure,12,frequent,289.5,52,1
control,exposure,13,frequent,436.5,109,1
control,exposure,14,rare,361.0,38,1
control,exposure,15,frequent,323.8,33,1
control,exposure,16,frequent,283.3,30,1
control,exposure,17,rare,477.8,39,1
control,exposure,18,rare,347.2,50,1
control,exposure,19,frequent,255.8,22,1
control,exposure,20,frequent,136.5,12,1
control,exposure,21,frequent,261.3,21,1
control,exposure,22,frequent,275.6,144,1
control,exposure,23,rare,400.5,44,1
control,exposure,24,frequent,253.8,23,1
control,exposure,25,frequent,254.1,26,1
control,exposure,26,frequent,298.7,28,1
control,exposure,27,rare,445.9,70,1
control,exposure,28,frequent,315.6,111,1
control,exposure,29,frequent,295.0,22,1
control,exposure,30,frequent,252.8,18,1
control,exposure,31,frequent,283.5,22,1
control,exposure,32,frequent,253.0,21,1
control,exposure,33,frequent,316.4,28,1
control,exposure,34,frequent,263.1,26,1
control,exposure,35,frequent,256.7,46,1
control,exposure,36,frequent,290.8,30,1
control,exposure,37,frequent,158.6,14,1
control,exposure,38,frequent,276.5,42,1
control,exposure,39,frequent,260.2,103,1
control,exposure,40,frequent,264.9,24,1
control,exposure,41,frequent,251.2,25,1
control,exposure,42,rare,348.6,32,1
control,exposure,43,rare,285.5,44,1
control,exposure,44,frequent,329.2,32,1
control,exposure,45,frequent,311.3,31,1
control,exposure,46,rare,289.4,82,1
control,exposure,47,frequent,271.5,25,1
control,exposure,48,frequent,302.4,28,1
control,exposure,49,frequent,362.1,80,1
control,exposure,50,frequent,153.5,10,1
control,exposure,51,rare,268.6,25,1
control,exposure,52,rare,403.5,43,1
control,exposure,53,frequent,474.6,42,1
control,exposure,54,rare,330.2,32,1
control,exposure,55,rare,332.8,34,1
control,exposure,56,rare,346.0,28,1
control,exposure,57,frequent,324.9,32,1
control,exposure,58,rare,367.2,160,1
control,exposure,59,frequent,389.3,83,1
control,exposure,60,frequent,340.8,34,1
control,exposure,61,frequent,260.0,19,1
control,exposure,62,rare,324.5,96,1
control,exposure,63,frequent,465.7,95,1
control,exposure,64,rare,300.2,46,1
control,exposure,65,frequent,266.7,50,1
control,exposure,66,frequent,353.3,39,1
control,exposure,67,frequent,252.1,23,1
control,exposure,68,frequent,320.5,29,1
control,exposure,69,frequent,297.4,41,1
control,exposure,70,frequent,261.8,99,1
control,exposure,71,rare,315.5,28,1
control,exposure,72,frequent,455.5,53,1
control,exposure,73,rare,252.5,24,1
control,exposure,74,frequent,379.1,41,1
control,exposure,75,frequent,309.5,33,1
control,exposure,76,rare,287.4,27,1
control,exposure,77,frequent,299.3,80,1
control,exposure,78,frequent,283.3,25,1
control,exposure,79,frequent,106.4,9,1
control,exposure,80,frequent,270.1,32,1
control,exposure,81,frequent,268.6,18,1
control,exposure,82,rare,317.8,29,1
control,exposure,83,frequent,443.9,124,1
control,exposure,84,frequent,259.2,18,1
control,exposure,85,frequent,260.2,21,1
control,exposure,86,frequent,327.6,33,1
control,exposure,87,rare,266.6,57,1
control,exposure,88,frequent,268.9,23,1
control,exposure,89,frequent,316.7,30,1
control,exposure,90,rare,257.3,25,1
control,exposure,91,rare,368.4,34,1
control,exposure,92,frequent,290.0,100,1
control,exposure,93,rare,297.7,23,1
control,exposure,94,frequent,327.2,30,1
control,exposure,95,frequent,256.7,20,1
control,exposure,96,frequent,251.4,25,1
control,exposure,97,frequent,262.3,25,1
control,exposure,98,frequent,301.9,24,1
control,exposure,99,frequent,364.8,26,1
control,exposure,100,frequent,278.6,23,1
control,exposure,101,frequent,264.5,25,1
control,exposure,102,frequent,278.7,81,1
control,exposure,103,frequent,294.7,27,1
