arm,seed,trial,drift
fitted,103,70,1.28000
fitted,103,71,1.50000
fitted,103,72,-0.06000
fitted,103,73,1.70000
fitted,103,74,3.56000
fitted,103,75,2.16000
fitted,103,76,-1.24000
fitted,103,77,2.36000
fitted,103,78,0.46000
fitted,103,79,-4.00000
fitted,103,80,3.12000
fitted,103,81,1.98000
fitted,103,82,0.32000
fitted,103,83,-1.30000
fitted,103,84,0.38000
fitted,103,85,2.94000
fitted,103,86,1.62000
fitted,103,87,-2.82000
fitted,103,88,-1.02000
fitted,103,89,1.92000
fitted,103,90,2.46000
fitted,103,91,2.84000
fitted,103,92,1.70000
fitted,103,93,-1.18000
fitted,103,94,-2.58000
fitted,103,95,0.10000
fitted,103,96,-3.58000
fitted,103,97,2.54000
fitted,103,98,0.46000
fitted,103,99,-1.92000
fitted,103,100,-0.88000
fitted,103,101,3.58000
fitted,103,102,1.36000
fitted,103,103,-1.98000
fitted,103,104,-1.26000
fitted,103,105,1.92000
fitted,103,106,0.58000
fitted,103,107,1.14000
fitted,103,108,-1.36000
fitted,103,109,-0.78000
fitted,103,110,-2.52000
fitted,103,111,3.54000
fitted,103,112,-0.34000
fitted,103,113,3.64000
fitted,103,114,1.00000
fitted,103,115,-0.52000
fitted,103,116,2.00000
fitted,103,117,0.86000
fitted,103,118,2.68000
fitted,103,119,-0.36000
fitted,103,120,2.78000
fitted,103,121,2.66000
fitted,103,122,0.10000
fitted,103,123,1.18000
fitted,103,124,3.58000
fitted,103,125,0.02000
fitted,103,126,-2.54000
fitted,103,127,-0.62000
fitted,103,128,1.28000
fitted,103,129,3.62000
fitted,103,130,0.16000
fitted,103,131,-1.74000
fitted,103,132,-3.72000
fitted,103,133,-1.10000
fitted,103,134,0.76000
fitted,103,135,1.94000
fitted,103,136,-0.08000
fitted,103,137,-3.58000
fitted,103,138,-0.48000
fitted,103,139,1.06000
fitted,103,140,3.46000
fitted,103,141,2.74000
fitted,103,142,-3.06000
fitted,103,143,-0.88000
fitted,103,144,-0.78000
fitted,103,145,2.20000
fitted,103,146,-0.26000
fitted,103,147,-1.58000
fitted,103,148,-1.50000
fitted,103,149,-2.54000
fitted,103,150,0.90000
fitted,103,151,0.72000
fitted,103,152,-0.52000
fitted,103,153,-0.74000
fitted,103,154,0.76000
fitted,103,155,2.44000
fitted,103,156,-1.46000
fitted,103,157,0.04000
fitted,103,158,1.26000
fitted,103,159,-3.42000
fitted,103,160,-1.68000
fitted,103,161,-0.06000
fitted,103,162,-1.30000
fitted,103,163,0.48000
fitted,103,164,2.18000
fitted,103,165,-2.94000
fitted,103,166,0.50000
fitted,103,167,4.52000
fitted,103,168,0.88000
fitted,103,169,-2.72000
fitted,103,170,1.60000
fitted,103,171,3.10000
fitted,103,172,4.60000
fitted,103,173,0.70000
fitted,103,174,0.62000
fitted,103,175,-2.26000
fitted,103,176,0.10000
fitted,103,177,0.60000
fitted,103,178,2.40000
fitted,103,179,-0.62000
fitted,104,1,-1.60000
fitted,104,2,0.74000
fitted,104,3,0.84000
fitted,104,4,1.28000
